曰	日
𬮒	日弓十心山
𫔜	日弓十口
䦡	日弓十口口
𨴣	日弓十女
閳	日弓十田十
𨳓	日弓大
𨴜	日弓大月
𨳧	日弓大水
㬠	日弓大火
𣉡	日弓大土
𨴶	日弓大竹竹
𬮋	日弓大竹大
閎	日弓大戈
𨵵	日弓大戈廿
𨶶	日弓大十日
𰿟	日弓大中土
閹	日弓大中山
閹	日弓大中女
𣆴	日弓大一
𭦋	日弓大一
𨵤	日弓大一口
𨳊	日弓大弓
𬮊	日弓大人人
𪰷	日弓大手
𨳾	日弓大口
𬮅	日弓大尸
𣆴	日弓大女
𭦋	日弓大女
𪰇	日弓中
𫔘	日弓中
𫔚	日弓中
𮤋	日弓中月大
𬮑	日弓中土日
𨶬	日弓中土一
𨷷	日弓中戈戈
𨵓	日弓中中
𫔢	日弓中中
𨳭	日弓中中中
𨳭	日弓中中弓
闠	日弓中一金
閩	日弓中一戈
𨴡	日弓中一人
𨵈	日弓中一卜
𨵖	日弓中心
𨷨	日弓中心金
𫔞	日弓中田
𨴁	日弓中田中
閂	日弓一
𢑢	日弓一月
𨷘	日弓一月月
𨵪	日弓一月金
𨶛	日弓一月金
𨴎	日弓一月中
𨷰	日弓一月口
𨷏	日弓一月田
𨴇	日弓一金
閪	日弓一金田
㫽	日弓一水
𭦧	日弓一水
𨳫	日弓一火
䦵	日弓一火月
閛	日弓一火十
𨴈	日弓一火一
𮤞	日弓一火尸
𨶳	日弓一火山
閏	日弓一土
䦯	日弓一土水
閠	日弓一土戈
䦯	日弓一土大
𨶵	日弓一土中
𨷦	日弓一竹一
𨴗	日弓一戈土
閈	日弓一十
𮤜	日弓一十水
開	日弓一十十
闞	日弓一十大
𨳨	日弓一大
開	日弓一大十
𨷆	日弓一大一
𨳪	日弓一中月
𨴉	日弓一中水
閸	日弓一中一
𨳎	日弓一一
閆	日弓一一一
䦜	日弓一一口
𨴂	日弓一一廿
䦎	日弓一一山
𨵑	日弓一一山
閅	日弓一弓
閜	日弓一弓口
𨳉	日弓一人
𨳵	日弓一人月
𨷹	日弓一人火
𨷢	日弓一人火
𫔫	日弓一人大
𨷼	日弓一人人
𮤩	日弓一心金
䦒	日弓一口
𫔡	日弓一口廿
𨵩	日弓一口田
𰿘	日弓一尸
䦠	日弓一尸人
𨴯	日弓一尸人
開	日弓一廿
𨷩	日弓一廿金
𨴸	日弓一廿竹
闘	日弓一廿戈
